"OBJECTID,N,10,0","ID,N,10,0","ADDRESS,C,80","TERMINAL_N,C,80","LATITUDE,N,24,15","LONGITUDE,N,24,15","INSTALLED,C,80","LOCKED,C,80","INSTALL_DA,C,80","REMOVAL_DA,C,80","TEMPORARY_,C,80","NUMBER_OF_,N,10,0","NUMBER_O_1,N,10,0","X,N,24,15","Y,N,24,15","SE_ANNO_CA,C,80"
74321180,59,17th & Corcoran St NW,31214,38.9121,-77.0387,YES,NO,1969-12-31T20:00:00.000Z,,NO,1,18,396643.58195891,138249.21138577,
74321181,60,Van Ness Metro / UDC,31300,38.944551,-77.063896,YES,NO,1969-12-31T20:00:00.000Z,,NO,9,6,394460.8760265,141852.77834368,
74321182,61,Florida Ave & R St NW,31503,38.9126,-77.0135,YES,NO,1969-12-31T20:00:00.000Z,,NO,0,14,398829.1646746,138304.09064665,
74321183,62,8th & Eye St SE / Barracks Row,31608,38.8792,-76.9953,YES,NO,1969-12-31T20:00:00.000Z,,NO,10,1,400407.81504123,134596.34949947,
74321184,63,Ward Circle / American University,31301,38.938736,-77.087171,YES,NO,1969-12-31T20:00:00.000Z,,NO,4,11,392442.5577893,141208.93151752,
74321185,64,Wisconsin Ave & Newark St NW,31302,38.934881,-77.072755,YES,NO,1969-12-31T20:00:00.000Z,,NO,10,9,393692.03675799,140779.89807813,
74321186,65,14th St Heights / 14th & Crittenden St NW,31402,38.947774,-77.032818,YES,NO,1969-12-31T20:00:00.000Z,,NO,8,2,397155.14643993,142209.13309952,
74321187,66,Anacostia Library,31804,38.865784,-76.9784,YES,NO,1969-12-31T20:00:00.000Z,,NO,5,5,401874.56617125,133107.28439427,
74321188,67,Pennsylvania & Minnesota Ave SE,31805,38.873057,-76.971015,YES,NO,1969-12-31T20:00:00.000Z,,NO,6,4,402515.22051118,133914.81891889,
74321189,68,Eastern Market / 7th & North Carolina Ave SE,31610,38.886952,-76.996806,YES,NO,1969-12-31T20:00:00.000Z,,NO,10,5,400277.11058153,135456.87541854,
74321190,69,14th St & New York Ave NW,31216,38.899632,-77.031686,YES,NO,1969-12-31T20:00:00.000Z,,NO,12,9,397251.41977838,136864.92754697,
74321191,70,Benning Branch Library,31705,38.894,-76.947974,YES,NO,1969-12-31T20:00:00.000Z,,NO,2,6,404513.31564725,136240.53983015,
74321192,71,USDA / 12th & Independence Ave SW,31217,38.887237,-77.02823,YES,NO,1969-12-31T20:00:00.000Z,,NO,16,22,397551.12964707,135488.88637292,
74321193,72,Georgetown Harbor / 30th St NW,31215,38.902221,-77.059219,YES,NO,1969-12-31T20:00:00.000Z,,NO,13,5,394863.27537199,137153.51643639,
74321194,73,12th & Newton St NE,31501,38.933668,-76.991016,YES,NO,1969-12-31T20:00:00.000Z,,NO,6,5,400778.93906675,140642.76917646,
74321195,74,US Dept of State / Virginia Ave & 21st St NW,31220,38.894919,-77.046587,YES,NO,1969-12-31T20:00:00.000Z,,NO,6,8,395958.57590909,136342.30123407,
74321196,75,LEnfant Plaza / 7th & C St SW,31218,38.886266,-77.022241,YES,NO,1969-12-31T20:00:00.000Z,,NO,3,11,398070.35828347,135380.95431573,
74321197,76,10th St & Constitution Ave NW,31219,38.893028,-77.026013,YES,NO,1969-12-31T20:00:00.000Z,,NO,19,10,397743.31133834,136131.67560302,
74321198,77,Kennedy Center,31211,38.895184,-77.054845,YES,NO,1969-12-31T20:00:00.000Z,,NO,5,5,395242.2118359,136372.11631822,
74321199,78,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613,38.884,-76.995397,YES,NO,1969-12-31T20:00:00.000Z,,NO,18,0,400399.37156595,135129.1858182,
74321200,79,18th & M St NW,31221,38.904742,-77.041606,YES,NO,1969-12-31T20:00:00.000Z,,NO,16,0,396391.17480356,137432.52410483,
74321201,80,Tenleytown / Wisconsin Ave & Albemarle St NW,31303,38.947607,-77.079382,YES,NO,1969-12-31T20:00:00.000Z,,NO,6,8,393118.69490052,142193.07513516,
74321202,81,13th & H St NE,31611,38.9003,-76.9882,YES,NO,1969-12-31T20:00:00.000Z,,NO,10,17,401023.57329617,136938.67004248,
74321203,82,5th & F St NW,31620,38.897222,-77.019347,YES,NO,1969-12-31T20:00:00.000Z,,NO,15,15,398321.70110602,136597.09913431,
74321204,83,New York Ave & 15th St NW,31222,38.8991,-77.0337,YES,NO,1969-12-31T20:00:00.000Z,,NO,11,4,397076.69494362,136805.93385932,
74321205,84,Convention Center / 7th & M St NW,31223,38.90572,-77.022264,YES,NO,1969-12-31T20:00:00.000Z,,NO,0,19,398068.88947444,137540.50314607,
74321206,85,Harvard St & Adams Mill Rd NW,31112,38.927872,-77.043358,YES,NO,1969-12-31T20:00:00.000Z,,NO,9,6,396240.42917895,140000.2175631,
74321207,86,19th & L St NW,31224,38.903407,-77.043648,YES,NO,1969-12-31T20:00:00.000Z,,NO,15,0,396213.98476874,137284.41101743,
74321208,87,C & O Canal & Wisconsin Ave NW,31225,38.90375,-77.06269,YES,NO,1969-12-31T20:00:00.000Z,,NO,13,8,394562.31341761,137323.44877775,
